F3_L,F3_R,F4_L,F4_R
-0.00752541038535241,0.00710164049700088,0.00505056840181306,-0.00764292076912305
-0.00548350344358621,0.00644261244212368,0.0059825339117367,-0.00659637455067137
-0.00561865329274825,0.00710154131150699,0.00449827210208201,-0.00809853851434954
-0.00482072653362095,0.00593156835045781,0.00837196551763072,-0.00726821043818965
-0.00512153814733999,0.00844980782955574,0.00804538761457576,-0.00838936988576986
-0.00739206378959865,0.00912258097320658,0.00457741956231923,-0.00628139421286742
-0.00348833860128574,0.00531433755909285,0.00936993204745287,-0.00742925367302497
-0.00302695674881305,0.0132109392988849,0.00726812953128511,-0.00136493696363593
-0.00421668126363564,0.0048465711946585,0.00665867323686712,-0.00614734103071105
-0.00497474786605194,0.00657811073704089,0.00775342372767113,-0.00605246896447767
-0.00460334568123185,0.00446161751533378,0.00827312897321251,-0.0100435274630517
-0.00938306837090684,0.00686096338548829,0.00378769821800429,-0.00447329753618107
-0.00552824554035457,-0.000350098957926493,0.00484569220072194,-0.0104659841418618
-0.0029004910368554,0.00557529532830271,0.0081064451770112,-0.0081442749520542
-0.00512071806654497,0.00926012678866242,0.00726685699680414,-0.00440373485662254
-0.00649742876082568,0.000958989526463461,0.000994097238682657,-0.00923860122866756
-0.00414455056047451,0.00886799716559436,0.00754515413937262,-0.00527365791701877
-0.0109037937252295,0.00739911044639023,-0.000187710649112287,-0.00563218902018944
-0.00508495713707008,0.00801488185187372,0.0100531156937219,-0.0061012508359577
-0.00640143922037827,0.00713235325541731,0.00737210988097027,-0.00708290104157583
-0.0054008342480488,0.00853711640464565,0.00779940467767858,-0.00450527739965242
-0.00650713845388156,0.00825361203045968,0.00708381817125407,-0.00508626782013825
-0.00085134205130693,0.00276096374310906,0.00999809188812406,-0.00743399712087884
-0.0104677516271904,0.0059576783886105,0.00116591860779223,-0.00448701763141234
-0.00637419926177475,0.00867629705937551,0.0043800596140054,-0.00359718215449413
-0.00668045681591382,0.00451428420187224,0.00440300919057056,-0.00504638617673727
