F3_target_fast,F3_target_slow,F3_saccade_fast,F3_saccade_slow,F4_target_fast,F4_target_slow,F4_saccade_fast,F4_saccade_slow
0.00120374052795673,-0.00104243630015703,0.00228820785081006,0.00369282233094878,0.00184566147358273,0.000405426844288584,0.00497684068160614,0.00271376920204774
0.000759102264170656,-0.000141522267833949,0.00282769027397485,0.00300836395271281,0.00141265818486737,0.00082745691612026,0.00488213587916055,0.00248244123313421
0.000153579114132331,-0.000254507539792519,0.0021805593549872,0.00310349843897975,0.00147929692985885,-0.000114699507571596,0.00520070902709831,0.00249004752887236
0.00304720510984485,0.000899642096357187,0.00191583448501139,0.00148068658476374,0.00277453627001145,0.000864179648978731,0.0049823174625848,0.00140044314867736
0.000823512232004665,0.00234630382944301,-0.000786972986980308,0.00207607201356001,0.00332477309312878,0.00209492957261451,0.00333105737361646,0.00287286682224949
0.00236000969485557,0.000830375798899545,0.00111289152640828,0.00149665077410314,0.00136571953308798,0.00138144034485776,0.00327339429080425,0.00262891965283323
0.00259241081015007,0.00161016636560667,0.00187488100591321,0.00172131551755139,0.00363731003576563,0.00198796442722388,0.0014960200340012,0.00463198161152086
0.00128039550691729,0.00220652182454516,0.000502646358417363,0.00306728161145438,0.00459195741003113,0.00210492771817686,0.00162516557782352,0.00379579472011975
0.00113450128483204,0.00138654580051833,0.000761526289800433,0.00235617033410824,0.00513806295930602,0.00340824611286162,0.00342482585135468,0.00470132426310416
0.00155358992328248,0.00159804586745275,0.00127643451452961,0.00304669527912893,0.00513155933873492,0.00298555339865858,0.00209964529731873,0.004302354699757
0.00378704998653768,0.00251827818201665,0.00173631096726221,0.00315640760472796,0.00512577852199954,0.00197562433670942,0.00183244648204755,0.00394758789579391
0.00476154806399512,0.00279880175210317,0.0016713176477021,0.00272497505354707,0.00616157593325941,-1.52383846250366e-05,0.0018637672023726,0.00413463985191007
0.00506182414311149,0.00299539361851096,0.00241572218749683,0.00107198809388996,0.00702171127023696,0.00428351843936459,0.00258741070750607,0.00355783796046644
0.000292219875122924,-0.00245829452592725,0.00189948131926348,0.00412237775323384,0.000571485275917872,-0.000530232558255971,0.00270779093430462,0.00576556844356318
-5.59011616044342e-05,0.000292250804065405,0.00195524414256054,0.00086752966543276,0.000777343728974552,-0.00311509297761476,0.00363709810571457,0.00133458665926977
-0.000205979943371832,0.00196091390140287,0.00195184393573115,0.00139124707766469,0.00206026038159141,0.00122460674771699,0.00326839854866398,0.00224412625163896
0.000342721951323179,0.000625552595971167,0.00106606379422796,0.00246923589883723,0.000107520274621841,-0.00115588286952611,0.00215968816548617,0.0014149687629862
0.003191428467416,0.000561421703519161,0.00257962279617756,0.00457836117398772,0.00149617367167645,-0.0022094609278405,0.00242901324106807,0.00411503828862563
0.00195596992573569,0.000336640766110754,0.00223521158925609,0.00392709585690505,0.000798252596947157,0.00011401234814327,0.00273961400551351,0.00266672277962945
0.00293705770162147,0.00192221633781832,0.0009165147783412,0.00331155890366329,0.00621252686701207,0.00255621770245181,0.00280270391411476,0.00460272114999127
0.00432574523774593,0.00144428890534594,0.00169926698287831,0.00319596706483864,0.00616671470105679,0.00189843120749668,0.00319742576552914,0.00291755530965252
0.00379083539980768,0.00142690775568637,0.00137714733410539,0.00210443304515098,0.00512438378600041,0.00294359053145155,0.00183943290970147,0.00282981015139274
0.00389742235608587,0.00295359885506771,0.0021207263529192,0.00181536850820721,0.00598867693814937,0.00183893356009136,0.00256189636746482,0.00307128471704172
0.00425945174017348,0.00178744499214633,0.00174967991469745,0.00248573997079848,0.00533099396595494,0.00245585921717627,0.00206215925431194,0.00334211800045613
0.00372895012205482,0.00314583995001299,0.00149508064785103,0.00181731299622234,0.00614556872196577,0.00201519762843359,0.00238543432722238,0.00292381022735369
0.00348372970215296,0.000839816168794678,0.00110759606443997,0.0040284760060263,0.00573278425303579,0.00113417424389666,0.00271257615124831,0.00246436573463531
0.00429218973318119,0.00183410025999633,0.0023801873367866,0.00252248399804339,0.00293909991428678,0.00466412564991546,0.00189585015842835,0.0033727076664722
0.0053691822025579,0.00315441682456423,0.00255067501176257,0.000991899536313621,0.00438367711602487,0.00242030830734328,0.00153187738424905,0.00190220920784893
0.00319030939179031,0.00107356984923664,0.00175285372533775,0.00272544122905911,0.00401603905236746,0.00262129565751558,0.00214732961709952,0.0035260955618865
